site_code,name,is_neon,lat,lon,igbp,veg,koeppen,map_mm,mat_c,data_start,data_end,domainID,domainName
US-xHA,NEON Harvard Forest,True,42.5369,-72.1727,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,1071,6.62,2017,2024,D01,Northeast
US-xJE,NEON Jones Ecological Research Center,True,31.1948,-84.4686,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,1307.97,19.2,2017,2024,D03,Southeast
US-xJR,NEON Jornada LTER,True,32.5907,-106.8425,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,271.33,15.7,2017,2024,D14,Desert Southwest
US-xKA,NEON Konza Prairie Biological Station-Relocatable,True,39.1104,-96.6129,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,850.63,12.7,2017,2024,D06,Prairie Peninsula
US-xKZ,NEON Konza Prairie Biological Station,True,39.1008,-96.5631,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,870.38,12.4,2017,2024,D06,Prairie Peninsula
US-xLE,NEON Lenoir Landing,True,31.8539,-88.1612,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,1386.24,18.1,2017,2024,D08,Ozarks Complex
US-xMB,NEON Moab,True,38.2483,-109.3883,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,319.46,10.1,2017,2024,D13,Southern Rockies / Colorado Plateau
US-xML,NEON Mountain Lake Biological Station,True,37.3783,-80.5248,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,1227.82,8.8,2017,2024,D07,Appalachians / Cumberland Plateau
US-xNG,NEON Northern Great Plains Research Laboratory,True,46.7697,-100.9154,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,456.51,5.9,2017,2024,D09,Northern Plains
US-xNQ,NEON Onaqui-Ault,True,40.1776,-112.4524,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Dfb,288.31,9,2017,2024,D15,Great Basin
US-xNW,NEON Niwot Ridge Mountain Research Station,True,40.0543,-105.5824,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,1004.54,0.3,2017,2024,D13,Southern Rockies / Colorado Plateau
US-xRM,NEON Rocky Mountain National Park,True,40.2759,-105.5459,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,730.59,2.9,2017,2024,D13,Southern Rockies / Colorado Plateau
US-xRN,NEON Oak Ridge National Lab,True,35.9641,-84.2826,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,1340.32,14.4,2017,2024,D07,Appalachians / Cumberland Plateau
US-xSB,NEON Ordway-Swisher Biological Station,True,29.6893,-81.9934,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,1302.09,20.9,2018,2024,D03,Southeast
US-xSC,NEON Smithsonian Conservation Biology Institute,True,38.8929,-78.1395,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,1125.5,11.6,2016,2024,D02,Mid Atlantic
US-xSE,NEON Smithsonian Environmental Research Center,True,38.8901,-76.56,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,1074.65,13.6,2017,2024,D02,Mid Atlantic
US-xSJ,NEON San Joaquin Experimental Range,True,37.1088,-119.7323,SAV,"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters.",Csa,539.62,16.4,2018,2024,D17,Pacific Southwest
US-xSL,NEON North Sterling,True,40.4619,-103.0293,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Bsk,432.67,9.7,2017,2024,D10,Central Plains
US-xSP,NEON Soaproot Saddle,True,37.0334,-119.2622,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csa,900.35,13.4,2017,2024,D17,Pacific Southwest
US-xSR,NEON Santa Rita Experimental Range,True,31.9107,-110.8355,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,346,19.3,2017,2024,D14,Desert Southwest
US-xST,NEON Steigerwaldt Land Services,True,45.5089,-89.5864,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,797.56,4.8,2017,2024,D05,Great Lakes
US-xTA,NEON Talladega National Forest,True,32.9505,-87.3933,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,1382.68,17.2,2017,2024,D08,Ozarks Complex
US-xTE,NEON Lower Teakettle,True,37.0058,-119.006,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csa,1222.5,8,2018,2024,D17,Pacific Southwest
US-xTR,NEON Treehaven,True,45.4937,-89.5857,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,797.56,4.8,2017,2024,D05,Great Lakes
US-xUK,NEON The University of Kansas Field Station,True,39.0404,-95.1921,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,990.63,12.7,2017,2024,D06,Prairie Peninsula
US-xUN,NEON Univ. of Notre Dame Environmental Research Center,True,46.2339,-89.5373,MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,802.3,4.3,2017,2024,D05,Great Lakes
US-xWD,NEON Woodworth,True,47.1282,-99.2414,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,493.76,4.9,2017,2024,D09,Northern Plains
US-xWR,NEON Wind River Experimental Forest,True,45.8205,-121.9519,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,2225.01,9.2,2018,2024,D16,Pacific Northwest
US-xYE,NEON Yellowstone Northern Range,True,44.9535,-110.5391,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,493.44,3.4,2018,2024,D12,Northern Rockies
US-ALQ,Allequash Creek Site,False,46.0308,-89.6067,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfb,,,2015,2025,D05,Great Lakes
US-ARM,ARM Southern Great Plains site,False,36.6058,-97.4888,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Cfa,843,14.76,2003,2025,D11,Southern Plains
US-Bi1,Bouldin Island Alfalfa,False,38.0992,-121.4993,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Csa,338,16,2016,2025,D17,Pacific Southwest
US-Bi2,Bouldin Island corn,False,38.1091,-121.5351,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Csa,338,16,2017,2025,D17,Pacific Southwest
US-BMM,Bangtail Mountain Meadow,False,45.783,-110.7776,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfc,,,2016,2019,D12,Northern Rockies
US-BRG,Bayles Road Grassland Tower,False,39.2167,-86.5406,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,1200,11.8,2016,2020,D06,Prairie Peninsula
US-CF1,CAF-LTAR Cook East,False,46.7815,-117.0821,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dsb,550,9,2017,2021,D15,Great Basin
US-CF2,CAF-LTAR Cook West,False,46.784,-117.0908,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dsb,550,9,2017,2021,D15,Great Basin
US-CF3,CAF-LTAR Boyd North,False,46.7551,-117.1261,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dsb,550,9,2017,2021,D15,Great Basin
US-CF4,CAF-LTAR Boyd South,False,46.7518,-117.1285,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dsb,550,9,2017,2021,D15,Great Basin
US-Ha1,Harvard Forest EMS Tower,False,42.5378,-72.1715,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,1071,6.62,1991,2025,D01,Northeast
US-Ha2,Harvard Forest Hemlock Site,False,42.5393,-72.1779,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,1071,6.56,2004,2025,D01,Northeast
US-HB1,North Inlet Crab Haul Creek,False,33.3455,-79.1957,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Cfa,1429,18.3,2018,2024,D03,Southeast
US-HB2,Hobcaw Barony Mature Longleaf Pine,False,33.3242,-79.244,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,1429,18.3,2018,2024,D03,Southeast
US-HB3,Hobcaw Barony Longleaf Pine Restoration,False,33.3482,-79.2322,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,1429,18.3,2019,2024,D03,Southeast
US-Ho1,Howland Forest,False,45.204,-68.7402,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,1070,5.27,1996,2025,D01,Northeast
US-KFS,Kansas Field Station,False,39.0561,-95.1907,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,1014,12,2007,2019,D06,Prairie Peninsula
US-Me2,Metolius mature ponderosa pine,False,44.4526,-121.5589,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,523,6.28,2002,2025,D15,Great Basin
US-Me6,Metolius Young Pine Burn,False,44.3232,-121.6044,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,494,7.59,2010,2025,D15,Great Basin
US-MMS,Morgan Monroe State Forest,False,39.3232,-86.4133,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,1032,10.85,1999,2025,D06,Prairie Peninsula
US-Mpj,Mountainair Pinyon-Juniper Woodland,False,34.4382,-106.2385,WSA,"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters.",Bsk,385,10.5,2008,2026,D13,Southern Rockies / Colorado Plateau
US-Myb,Mayberry Wetland,False,38.0499,-121.765,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Csa,338,15.9,2010,2025,,
US-NC2,NC_Loblolly Plantation,False,35.803,-76.6685,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,1320,16.6,2005,2026,D02,Mid Atlantic
US-NC3,NC_Clearcut#3,False,35.799,-76.656,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,1320,16.6,2013,2021,D02,Mid Atlantic
US-NC4,NC_AlligatorRiver,False,35.7817,-75.9135,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Cfa,1311,16.6,2009,2026,D02,Mid Atlantic
US-Ne1,Mead-irrigated continuous maize site,False,41.1651,-96.4766,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,790.37,10.07,2001,2024,D06,Prairie Peninsula
US-Ne2,Mead-irrigated maize-soybean rotation site,False,41.1649,-96.4701,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,788.89,10.08,2001,2024,D06,Prairie Peninsula
US-Ne3,Mead-rainfed maize-soybean rotation site,False,41.1797,-96.4397,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,783.68,10.11,2001,2024,D06,Prairie Peninsula
US-NR1,Niwot Ridge Forest,False,40.0329,-105.547,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,800,1.5,1998,2025,D13,Southern Rockies / Colorado Plateau
US-PFa,Park Falls,False,45.9451,-90.2732,MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,823,4.33,1995,2026,D05,Great Lakes
US-Rms,RCEW Mountain Big Sagebrush,False,43.0645,-116.7486,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Bsh,800,5.4,2014,2023,D15,Great Basin
US-Ro4,Rosemount Prairie,False,44.6781,-93.0723,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfa,879,6.4,2014,2026,D06,Prairie Peninsula
US-Ro5,Rosemount I18_South,False,44.691,-93.0576,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,879,6.4,2017,2026,D06,Prairie Peninsula
US-Ro6,Rosemount I18_North,False,44.6946,-93.0578,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,879,6.4,2017,2026,D06,Prairie Peninsula
US-Rws,Reynolds Creek Wyoming big sagebrush,False,43.1675,-116.7132,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,290,8.9,2014,2023,D15,Great Basin
US-Seg,Sevilleta grassland,False,34.3603,-106.7003,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Bsk,273.304,13.667,2007,2026,D14,Desert Southwest
US-Ses,Sevilleta shrubland,False,34.335,-106.7448,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,275.082,13.722,2007,2025,D14,Desert Southwest
US-Sne,Sherman Island Restored Wetland,False,38.0369,-121.7547,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Csa,311,16.09,2016,2020,,
US-Snf,Sherman Barn,False,38.0402,-121.7272,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Csa,,,2018,2020,,
US-SRG,Santa Rita Grassland,False,31.7894,-110.8277,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Bsk,420,17,2008,2025,D14,Desert Southwest
US-SRM,Santa Rita Mesquite,False,31.8214,-110.8661,WSA,"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters.",Bsk,380,17.92,2004,2025,D14,Desert Southwest
US-Syv,Sylvania Wilderness Area,False,46.2421,-89.3459,MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,826,3.81,2001,2026,D05,Great Lakes
US-Ton,Tonzi Ranch,False,38.4309,-120.966,WSA,"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters.",Csa,559,15.8,2001,2025,D17,Pacific Southwest
US-Tw1,Twitchell Wetland West Pond,False,38.1074,-121.6469,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Csa,421,15.5,2011,2023,D17,Pacific Southwest
US-Tw3,Twitchell Alfalfa,False,38.1152,-121.6469,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Csa,421,15.6,2013,2018,D17,Pacific Southwest
US-Tw4,Twitchell East End Wetland,False,38.1027,-121.6413,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Csa,421,15.6,2013,2025,,
US-Tw5,East Pond Wetland,False,38.1072,-121.6426,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Csa,421,15.5,2018,2020,D17,Pacific Southwest
US-UMB,Univ. of Mich. Biological Station,False,45.5598,-84.7138,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,803,5.83,2000,2026,D05,Great Lakes
US-UMd,UMBS Disturbance,False,45.5625,-84.6975,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,803,5.83,2007,2026,D05,Great Lakes
US-Var,Vaira Ranch,False,38.4133,-120.9508,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Csa,559,15.8,2000,2025,D17,Pacific Southwest
US-Vcm,Valles Caldera Mixed Conifer,False,35.8885,-106.5322,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,646,6.4,2007,2026,D13,Southern Rockies / Colorado Plateau
US-Vcp,Valles Caldera Ponderosa Pine,False,35.8641,-106.5965,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,550,9.8,2007,2026,D13,Southern Rockies / Colorado Plateau
US-Vcs,Valles Caldera Sulphur Springs Mixed Conifer,False,35.9193,-106.6147,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,550.93,4.6,2016,2026,D13,Southern Rockies / Colorado Plateau
US-WCr,Willow Creek,False,45.8058,-90.0795,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,787,4.02,1998,2025,D05,Great Lakes
US-Whs,Walnut Gulch Lucky Hills Shrub,False,31.7438,-110.0522,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,320,17.6,2007,2025,D14,Desert Southwest
US-Wjs,Willard Juniper Savannah,False,34.4258,-105.8617,SAV,"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters.",Bsk,361,15.2,2007,2025,D13,Southern Rockies / Colorado Plateau
